BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr6.txt;;
wynik optymalny:;132;;
liczba wierzcholkow:;6;;
iteracja;czas [ms];wynik;sciezka
1;2;132;2 3 4 5 0 1 2
2;0;132;0 1 2 3 4 5 0
3;0;132;4 5 0 1 2 3 4
4;0;132;5 0 1 2 3 4 5
5;0;132;1 2 3 4 5 0 1
6;0;132;3 4 5 0 1 2 3
7;0;132;2 3 4 5 0 1 2
8;0;132;2 3 4 5 0 1 2
9;0;132;5 0 1 2 3 4 5
10;0;132;4 5 0 1 2 3 4
11;0;132;4 5 0 1 2 3 4
12;0;132;4 5 0 1 2 3 4
13;0;132;3 4 5 0 1 2 3
14;0;132;0 1 2 3 4 5 0
15;0;132;3 4 5 0 1 2 3
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr7.txt;;
wynik optymalny:;146;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;1;146;5 3 6 1 2 0 4 5
2;0;146;5 3 6 1 2 0 4 5
3;0;146;0 4 5 3 6 1 2 0
4;0;146;3 6 1 2 0 4 5 3
5;0;146;2 0 4 5 3 6 1 2
6;0;146;2 0 4 5 3 6 1 2
7;0;146;6 1 2 0 4 5 3 6
8;0;146;3 6 1 2 0 4 5 3
9;0;146;6 1 2 0 4 5 3 6
10;0;146;2 0 4 5 3 6 1 2
11;0;146;5 3 6 1 2 0 4 5
12;0;146;4 5 3 6 1 2 0 4
13;0;146;5 3 6 1 2 0 4 5
14;0;146;0 4 5 3 6 1 2 0
15;0;146;3 6 1 2 0 4 5 3
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8.txt;;
wynik optymalny:;162;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;0;162;1 2 7 6 4 5 3 0 1
2;0;162;1 2 7 6 4 5 3 0 1
3;1;162;2 7 6 4 5 3 0 1 2
4;0;162;7 6 4 5 3 0 1 2 7
5;1;162;0 1 2 7 6 4 5 3 0
6;1;162;6 4 5 3 0 1 2 7 6
7;0;162;3 0 1 2 7 6 4 5 3
8;1;162;7 6 4 5 3 0 1 2 7
9;0;162;3 0 1 2 7 6 4 5 3
10;1;162;7 6 4 5 3 0 1 2 7
11;1;162;3 0 1 2 7 6 4 5 3
12;0;162;3 0 1 2 7 6 4 5 3
13;0;162;4 5 3 0 1 2 7 6 4
14;1;162;7 6 4 5 3 0 1 2 7
15;1;162;6 4 5 3 0 1 2 7 6
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr9.txt;;
wynik optymalny:;193;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;8;193;2 7 8 5 6 4 3 0 1 2
2;4;193;6 4 3 0 1 2 7 8 5 6
3;3;193;7 8 5 6 4 3 0 1 2 7
4;6;193;5 6 4 3 0 1 2 7 8 5
5;2;193;8 5 6 4 3 0 1 2 7 8
6;5;193;2 7 8 5 6 4 3 0 1 2
7;4;193;6 4 3 0 1 2 7 8 5 6
8;3;193;6 4 3 0 1 2 7 8 5 6
9;6;193;5 6 4 3 0 1 2 7 8 5
10;4;193;0 1 2 7 8 5 6 4 3 0
11;3;193;7 8 5 6 4 3 0 1 2 7
12;3;193;1 2 7 8 5 6 4 3 0 1
13;5;193;4 3 0 1 2 7 8 5 6 4
14;5;193;4 3 0 1 2 7 8 5 6 4
15;3;193;7 8 5 6 4 3 0 1 2 7
sredni czas [ms];;;
4;;;
;;;
;;;
plik:;g/gr10.txt;;
wynik optymalny:;209;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;4;209;0 1 9 4 5 3 6 7 8 2 0
2;7;209;3 6 7 8 2 0 1 9 4 5 3
3;4;209;1 9 4 5 3 6 7 8 2 0 1
4;6;209;5 3 6 7 8 2 0 1 9 4 5
5;6;209;4 5 3 6 7 8 2 0 1 9 4
6;5;209;3 6 7 8 2 0 1 9 4 5 3
7;6;209;4 5 3 6 7 8 2 0 1 9 4
8;4;209;8 2 0 1 9 4 5 3 6 7 8
9;6;209;5 3 6 7 8 2 0 1 9 4 5
10;4;209;0 1 9 4 5 3 6 7 8 2 0
11;6;209;5 3 6 7 8 2 0 1 9 4 5
12;5;209;0 1 9 4 5 3 6 7 8 2 0
13;6;209;4 5 3 6 7 8 2 0 1 9 4
14;4;209;0 1 9 4 5 3 6 7 8 2 0
15;4;209;1 9 4 5 3 6 7 8 2 0 1
sredni czas [ms];;;
5;;;
;;;
;;;
plik:;g/gr11.txt;;
wynik optymalny:;115;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
1;7;115;0 7 1 8 5 10 2 6 9 4 3 0
2;4;115;6 9 4 3 0 7 1 8 5 10 2 6
3;10;115;5 10 2 6 9 4 3 0 7 1 8 5
4;6;115;0 7 1 8 5 10 2 6 9 4 3 0
5;6;115;1 8 5 10 2 6 9 4 3 0 7 1
6;7;115;10 2 6 9 4 3 0 7 1 8 5 10
7;5;115;8 5 10 2 6 9 4 3 0 7 1 8
8;5;115;8 5 10 2 6 9 4 3 0 7 1 8
9;7;115;10 2 6 9 4 3 0 7 1 8 5 10
10;6;115;10 2 6 9 4 3 0 7 1 8 5 10
11;4;115;6 9 4 3 0 7 1 8 5 10 2 6
12;6;115;1 8 5 10 2 6 9 4 3 0 7 1
13;4;115;9 4 3 0 7 1 8 5 10 2 6 9
14;5;115;9 4 3 0 7 1 8 5 10 2 6 9
15;5;115;6 9 4 3 0 7 1 8 5 10 2 6
sredni czas [ms];;;
5;;;
;;;
;;;
plik:;g/gr12.txt;;
wynik optymalny:;244;;
liczba wierzcholkow:;12;;
iteracja;czas [ms];wynik;sciezka
1;7;244;7 11 8 5 10 0 1 2 9 4 3 6 7
2;15;244;2 9 4 3 6 7 11 8 5 10 0 1 2
3;7;244;0 1 2 9 4 3 6 7 11 8 5 10 0
4;9;244;4 3 6 7 11 8 5 10 0 1 2 9 4
5;16;244;2 9 4 3 6 7 11 8 5 10 0 1 2
6;9;244;9 4 3 6 7 11 8 5 10 0 1 2 9
7;6;244;7 11 8 5 10 0 1 2 9 4 3 6 7
8;9;244;11 8 5 10 0 1 2 9 4 3 6 7 11
9;6;244;8 5 10 0 1 2 9 4 3 6 7 11 8
10;12;244;5 10 0 1 2 9 4 3 6 7 11 8 5
11;14;244;10 0 1 2 9 4 3 6 7 11 8 5 10
12;14;244;10 0 1 2 9 4 3 6 7 11 8 5 10
13;10;244;3 6 7 11 8 5 10 0 1 2 9 4 3
14;7;244;0 1 2 9 4 3 6 7 11 8 5 10 0
