BADANIE;20:21:43;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr7.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;0;146;0 4 5 3 6 1 2 0
2;0;146;0 4 5 3 6 1 2 0
3;0;146;0 4 5 3 6 1 2 0
4;0;146;0 4 5 3 6 1 2 0
5;0;146;0 4 5 3 6 1 2 0
6;0;146;0 4 5 3 6 1 2 0
7;0;146;0 4 5 3 6 1 2 0
8;0;146;0 4 5 3 6 1 2 0
9;0;146;0 4 5 3 6 1 2 0
10;0;146;0 4 5 3 6 1 2 0
11;0;146;0 4 5 3 6 1 2 0
12;0;146;0 4 5 3 6 1 2 0
13;0;146;0 4 5 3 6 1 2 0
14;0;146;0 4 5 3 6 1 2 0
15;0;146;0 4 5 3 6 1 2 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8.txt;;
wynik optymalny:;162;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;0;162;0 1 2 7 6 4 5 3 0
2;0;162;0 1 2 7 6 4 5 3 0
3;0;162;0 1 2 7 6 4 5 3 0
4;0;162;0 1 2 7 6 4 5 3 0
5;0;162;0 1 2 7 6 4 5 3 0
6;1;162;0 1 2 7 6 4 5 3 0
7;0;162;0 1 2 7 6 4 5 3 0
8;0;162;0 1 2 7 6 4 5 3 0
9;0;162;0 1 2 7 6 4 5 3 0
10;0;162;0 1 2 7 6 4 5 3 0
11;0;162;0 1 2 7 6 4 5 3 0
12;0;162;0 1 2 7 6 4 5 3 0
13;1;162;0 1 2 7 6 4 5 3 0
14;0;162;0 1 2 7 6 4 5 3 0
15;0;162;0 1 2 7 6 4 5 3 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr9.txt;;
wynik optymalny:;193;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;6;193;0 1 2 7 8 5 6 4 3 0
2;6;193;0 1 2 7 8 5 6 4 3 0
3;7;193;0 1 2 7 8 5 6 4 3 0
4;7;193;0 1 2 7 8 5 6 4 3 0
5;6;193;0 1 2 7 8 5 6 4 3 0
6;6;193;0 1 2 7 8 5 6 4 3 0
7;7;193;0 1 2 7 8 5 6 4 3 0
8;6;193;0 1 2 7 8 5 6 4 3 0
9;6;193;0 1 2 7 8 5 6 4 3 0
10;6;193;0 1 2 7 8 5 6 4 3 0
11;8;193;0 1 2 7 8 5 6 4 3 0
12;6;193;0 1 2 7 8 5 6 4 3 0
13;6;193;0 1 2 7 8 5 6 4 3 0
14;6;193;0 1 2 7 8 5 6 4 3 0
15;6;193;0 1 2 7 8 5 6 4 3 0
sredni czas [ms];;;
6;;;
;;;
;;;
plik:;g/gr10.txt;;
wynik optymalny:;209;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;60;209;0 1 9 4 5 3 6 7 8 2 0
2;60;209;0 1 9 4 5 3 6 7 8 2 0
3;60;209;0 1 9 4 5 3 6 7 8 2 0
4;58;209;0 1 9 4 5 3 6 7 8 2 0
5;60;209;0 1 9 4 5 3 6 7 8 2 0
6;59;209;0 1 9 4 5 3 6 7 8 2 0
7;58;209;0 1 9 4 5 3 6 7 8 2 0
8;63;209;0 1 9 4 5 3 6 7 8 2 0
9;78;209;0 1 9 4 5 3 6 7 8 2 0
10;64;209;0 1 9 4 5 3 6 7 8 2 0
11;62;209;0 1 9 4 5 3 6 7 8 2 0
12;58;209;0 1 9 4 5 3 6 7 8 2 0
13;57;209;0 1 9 4 5 3 6 7 8 2 0
14;57;209;0 1 9 4 5 3 6 7 8 2 0
15;61;209;0 1 9 4 5 3 6 7 8 2 0
sredni czas [ms];;;
61;;;
;;;
;;;
plik:;g/gr11.txt;;
wynik optymalny:;115;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
