

BADANIE;00:08:17
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;1;132;0;0;3 4 5 0 1 2 3
2;0;132;0;0;3 4 5 0 1 2 3
3;0;132;0;0;0 1 2 3 4 5 0
4;0;172;40;30.303;4 3 2 1 0 5 4
5;0;132;0;0;3 4 5 0 1 2 3
6;0;172;40;30.303;5 4 3 2 1 0 5
7;0;172;40;30.303;4 3 2 1 0 5 4
8;0;132;0;0;1 2 3 4 5 0 1
9;0;172;40;30.303;4 3 2 1 0 5 4
10;0;132;0;0;0 1 2 3 4 5 0
11;0;132;0;0;0 1 2 3 4 5 0
12;0;132;0;0;2 3 4 5 0 1 2
13;0;172;40;30.303;4 3 2 1 0 5 4
14;0;132;0;0;1 2 3 4 5 0 1
15;0;132;0;0;3 4 5 0 1 2 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;13.3333;26.6667;20.202


plik:;g/gr7.txt
wynik optymalny:;146
liczba wierzcholkow:;7
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;179;33;22.6027;2 0 1 5 6 4 3 2
2;0;180;34;23.2877;5 2 0 1 4 3 6 5
3;0;158;12;8.21918;4 5 2 0 1 3 6 4
4;0;149;3;2.05479;0 1 2 5 6 4 3 0
5;0;149;3;2.05479;0 1 2 5 6 4 3 0
6;0;179;33;22.6027;2 0 1 5 6 4 3 2
7;0;179;33;22.6027;2 0 1 5 6 4 3 2
8;0;179;33;22.6027;2 0 1 5 6 4 3 2
9;0;149;3;2.05479;0 1 2 5 6 4 3 0
10;0;146;0;0;6 1 2 0 4 5 3 6
11;0;149;3;2.05479;3 0 1 2 5 6 4 3
12;0;146;0;0;6 1 2 0 4 5 3 6
13;0;149;3;2.05479;0 1 2 5 6 4 3 0
14;0;158;12;8.21918;4 5 2 0 1 3 6 4
15;0;180;34;23.2877;5 2 0 1 4 3 6 5
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;15.9333;31.8667;21.8265


plik:;g/gr8.txt
wynik optymalny:;162
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;162;0;0;3 0 1 2 7 6 4 5 3
2;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
3;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
4;0;172;10;6.17284;7 6 1 2 0 4 5 3 7
5;0;162;0;0;0 1 2 7 6 4 5 3 0
6;0;172;10;6.17284;5 7 6 1 2 0 4 3 5
7;0;162;0;0;3 0 1 2 7 6 4 5 3
8;0;162;0;0;0 1 2 7 6 4 5 3 0
9;0;171;9;5.55556;6 7 1 2 0 4 5 3 6
10;0;193;31;19.1358;2 0 1 5 7 6 4 3 2
11;0;162;0;0;0 1 2 7 6 4 5 3 0
12;0;162;0;0;3 0 1 2 7 6 4 5 3
13;0;172;10;6.17284;7 6 1 2 0 4 5 3 7
14;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
15;0;162;0;0;3 0 1 2 7 6 4 5 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;12.6667;25.3333;15.6379


plik:;g/gr9.txt
wynik optymalny:;193
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;197;4;2.07254;8 2 0 1 5 7 6 4 3 8
2;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
3;0;197;4;2.07254;8 2 0 1 5 7 6 4 3 8
4;0;197;4;2.07254;2 0 1 5 7 6 4 3 8 2
5;0;216;23;11.9171;7 6 1 2 0 4 5 3 8 7
6;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
7;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
8;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
9;0;211;18;9.32642;3 0 1 2 7 6 4 5 8 3
10;0;197;4;2.07254;2 0 1 5 7 6 4 3 8 2
11;0;206;13;6.73575;1 2 0 7 6 4 5 3 8 1
12;0;206;13;6.73575;1 2 0 7 6 4 5 3 8 1
13;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
14;0;197;4;2.07254;8 2 0 1 5 7 6 4 3 8
15;0;233;40;20.7254;6 7 8 2 0 1 5 3 4 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;23.1333;46.2667;23.9724


plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;257;48;22.9665;4 5 7 6 1 2 0 8 9 3 4
2;0;239;30;14.3541;9 4 5 7 6 1 2 0 8 3 9
3;0;231;22;10.5263;3 0 1 2 7 6 4 5 8 9 3
4;0;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
5;0;227;18;8.61244;2 0 1 5 7 6 4 3 9 8 2
6;0;227;18;8.61244;8 2 0 1 5 7 6 4 3 9 8
7;0;227;18;8.61244;2 0 1 5 7 6 4 3 9 8 2
8;0;246;37;17.7033;7 6 1 2 0 4 5 3 9 8 7
9;0;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
10;0;225;16;7.6555;5 7 6 1 2 0 4 3 9 8 5
11;0;227;18;8.61244;2 0 1 5 7 6 4 3 9 8 2
12;0;257;48;22.9665;4 5 7 6 1 2 0 8 9 3 4
13;0;225;16;7.6555;5 7 6 1 2 0 4 3 9 8 5
14;0;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
15;0;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;26.2667;52.5333;25.1356


plik:;g/gr11.txt
wynik optymalny:;115
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;129;14;12.1739;9 4 2 10 3 0 7 1 5 8 6 9
2;0;142;27;23.4783;2 10 3 0 7 1 9 4 8 5 6 2
3;0;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
4;0;149;34;29.5652;3 0 7 1 9 4 2 10 6 5 8 3
5;0;178;63;54.7826;7 1 9 4 2 10 3 0 8 5 6 7
6;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
7;0;136;21;18.2609;10 3 0 7 1 9 4 2 6 5 8 10
8;0;135;20;17.3913;6 5 4 2 10 3 0 7 1 9 8 6
9;0;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
10;0;139;24;20.8696;8 5 4 2 10 3 0 7 1 9 6 8
11;0;135;20;17.3913;6 5 4 2 10 3 0 7 1 9 8 6
12;0;139;24;20.8696;5 4 2 10 3 0 7 1 9 6 8 5
13;0;139;24;20.8696;8 5 4 2 10 3 0 7 1 9 6 8
14;0;178;63;54.7826;7 1 9 4 2 10 3 0 8 5 6 7
15;0;135;20;17.3913;6 5 4 2 10 3 0 7 1 9 8 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;31.4667;62.9333;54.7246


plik:;g/gr12.txt
wynik optymalny:;244
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;271;27;11.0656;6 7 11 8 2 0 1 5 10 4 3 9 6
2;0;275;31;12.7049;8 2 0 1 5 10 4 3 6 7 11 9 8
3;0;293;49;20.082;2 0 1 5 10 8 6 7 11 4 3 9 2
4;0;306;62;25.4098;1 2 0 7 6 4 5 10 8 9 3 11 1
5;0;306;62;25.4098;1 2 0 7 6 4 5 10 8 9 3 11 1
6;0;256;12;4.91803;5 10 0 1 2 7 6 4 3 9 11 8 5
7;0;286;42;17.2131;4 5 10 0 1 2 7 6 11 8 9 3 4
8;0;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
9;0;283;39;15.9836;10 0 1 2 7 6 4 5 3 9 11 8 10
10;0;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
11;0;260;16;6.55738;11 6 7 8 2 0 1 5 10 4 3 9 11
12;0;306;62;25.4098;1 2 0 7 6 4 5 10 8 9 3 11 1
13;0;293;49;20.082;2 0 1 5 10 8 6 7 11 4 3 9 2
14;0;260;16;6.55738;11 6 7 8 2 0 1 5 10 4 3 9 11
15;0;293;49;20.082;7 6 1 2 0 4 5 10 8 9 3 11 7
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;37.6;75.2;30.8197


plik:;g/gr13.txt
wynik optymalny:;266
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
2;0;309;43;16.1654;2 0 1 12 7 6 4 5 10 8 9 3 11 2
3;0;307;41;15.4135;4 5 10 0 1 2 7 6 11 12 3 9 8 4
4;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
5;0;291;25;9.3985;5 10 0 1 2 7 6 4 3 9 11 12 8 5
6;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
7;0;318;52;19.5489;10 0 1 2 7 6 4 5 3 9 11 12 8 10
8;0;303;37;13.9098;7 6 1 2 0 12 10 8 5 3 9 4 11 7
9;0;303;37;13.9098;12 7 6 1 2 0 4 5 10 8 9 3 11 12
10;0;307;41;15.4135;0 1 2 7 6 4 5 10 8 12 3 9 11 0
11;0;318;52;19.5489;10 0 1 2 7 6 4 5 3 9 11 12 8 10
12;0;291;25;9.3985;5 10 0 1 2 7 6 4 3 9 11 12 8 5
13;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
14;0;291;25;9.3985;5 10 0 1 2 7 6 4 3 9 11 12 8 5
15;0;300;34;12.782;6 7 11 12 10 0 1 2 5 3 9 4 8 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;37.0667;74.1333;27.8697


plik:;g/gr14.txt
wynik optymalny:;279
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;308;29;10.3943;2 0 1 12 7 6 13 11 8 5 10 4 3 9 2
2;0;324;45;16.129;11 12 7 6 1 2 0 4 5 10 13 3 9 8 11
3;0;319;40;14.3369;10 0 1 2 7 6 13 11 12 3 9 4 5 8 10
4;0;301;22;7.8853;0 1 2 7 6 13 11 12 10 8 5 3 9 4 0
5;0;307;28;10.0358;13 11 12 7 6 1 2 0 4 5 10 8 9 3 13
6;0;307;28;10.0358;13 11 12 7 6 1 2 0 4 5 10 8 9 3 13
7;0;307;28;10.0358;13 11 12 7 6 1 2 0 4 5 10 8 9 3 13
8;0;316;37;13.2616;1 2 0 7 6 13 11 12 10 8 5 3 9 4 1
9;0;316;37;13.2616;1 2 0 7 6 13 11 12 10 8 5 3 9 4 1
